Congruency_condition,Target_position,Target_identity,Correct_key,Parallel_signal,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,textPresent_welcome_message.started,keyPress_SPACE_bar.started,textExperiment_start_confirmation.started,textPresent_welcome_message.stopped,keyPress_SPACE_bar.keys,keyPress_SPACE_bar.rt,textBlock_intro.started,keyBlock_start.started,keyBlock_start.keys,keyBlock_start.rt,textJitter_blank_screen.started,textJitter_blank_screen.stopped,textFixation_cross_I.started,textFixation_cross_II.started,textTarget_presentation.started,button_resp.started,button_resp.keys,button_resp.corr,button_resp.rt,textReaction_feedback.started,textISI_blank_screen.started,textFixation_cross_I.stopped,textReaction_feedback.stopped,textISI_blank_screen.stopped,textGoodbye_message.started,keyEnd_experiment.started,textGoodbye_message.stopped,keyEnd_experiment.keys,keyEnd_experiment.corr,keyEnd_experiment.rt,Participant (no.: ###),Session (no.: ###),Gender (m/f/d),Handedness (r/l),Height (cm),Weight (kg),date,expName,psychopyVersion,participant,frameRate,
,,,,,,,,,,,,,11.265722599811852,11.265722599811852,13.221949299797416,13.265710999956354,space,102.73442430002615,,,,,,,,,,,,,,,,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Left_congruent,"(-0.4, 0)",T,4,2,0,0,0,0,0,0,0,52,,,,,,,114.02883949992247,114.02883949992247,space,2.1783947001677006,116.24026909982786,117.24348849989474,117.24348849989474,117.42404509987682,117.42404509987682,117.42404509987682,4,1,0.3288368000648916,117.75988799985498,118.11393399978988,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Right_congruent,"(0.4, 0)",X,5,8,0,0,0,0,0,1,1,50,,,,,,,,,,,118.31525059998967,119.31524439994246,119.31524439994246,119.51767019997351,119.51767019997351,119.51767019997351,5,1,0.263497699983418,119.78857949981466,120.14358399994671,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Right_incongruent,"(-0.4, 0)",X,5,16,0,0,0,0,0,2,2,63,,,,,,,,,,,120.34450879995711,,121.33958189981058,121.53782749990933,121.53782749990933,121.53782749990933,4,0,0.23054059990681708,121.7763561999891,122.12904859986156,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Left_incongruent,"(0.4, 0)",T,4,4,0,0,0,0,0,3,3,61,,,,,,,,,,,122.3309539000038,123.3290904997848,123.3290904997848,123.52636099979281,123.52636099979281,123.52636099979281,5,0,0.38309839996509254,123.92454069992527,124.2683795997873,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Right_incongruent,"(-0.4, 0)",X,5,16,0,0,0,0,0,4,4,71,,,,,,,,,,,124.4683989000041,125.46943409997039,125.46943409997039,125.67025959980674,125.67025959980674,125.67025959980674,4,0,1.1123444000259042,126.79046769998968,127.1436245997902,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Right_congruent,"(0.4, 0)",X,5,8,0,0,0,0,0,5,5,62,,,,,,,,,,,127.34646839997731,128.34790449985303,128.34790449985303,128.53989589982666,128.53989589982666,128.53989589982666,5,1,0.5063994000665843,129.05191039992496,129.40739079983905,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Right_incongruent,"(-0.4, 0)",X,5,16,0,0,0,0,0,6,6,59,,,,,,,,,,,129.6140712997876,130.61887739994563,130.61887739994563,130.80574969993904,130.80574969993904,130.80574969993904,4,0,0.6549976000096649,131.4676891998388,131.82192709995434,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Right_incongruent,"(-0.4, 0)",X,5,16,0,0,0,0,0,7,7,19,,,,,,,,,,,132.02311959979124,133.02312839985825,133.02312839985825,133.22450469993055,133.22450469993055,133.22450469993055,5,1,0.5557694998569787,133.787399899913,134.1428923998028,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Right_incongruent,"(-0.4, 0)",X,5,16,0,0,0,0,0,8,8,55,,,,,,,,,,,134.35030259983614,135.35588879999705,135.35588879999705,135.53817670000717,135.53817670000717,135.53817670000717,5,1,0.43115610000677407,135.97485229978338,136.32988669979386,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Left_incongruent,"(0.4, 0)",T,4,4,0,0,0,0,0,9,9,69,,,,,,,,,,,136.5319246998988,,137.52483859984204,137.7263946000021,137.7263946000021,137.7263946000021,5,0,0.569324400043115,138.3027215998154,138.65454149991274,137.7263946000021,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Left_congruent,"(-0.4, 0)",T,4,2,0,0,0,0,0,10,10,20,,,,,,,,,,,138.85832419991493,,139.84982409980148,140.05279319989495,140.05279319989495,140.05279319989495,4,1,0.9723169000353664,141.03082339977846,141.3893522999715,140.05279319989495,141.38253879989497,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Left_incongruent,"(0.4, 0)",T,4,4,0,0,0,0,0,11,11,57,,,,,,,,,,,141.5850683997851,142.5853596997913,142.5853596997913,142.78667699988,142.78667699988,142.78667699988,4,1,1.0287339000497013,143.8214738999959,144.17709609982558,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Left_congruent,"(-0.4, 0)",T,4,2,0,0,0,0,0,12,12,76,,,,,,,,,,,144.37731429981068,145.37795859994367,145.37795859994367,145.58009859989397,145.58009859989397,145.58009859989397,5,0,0.6522220000624657,146.23870250000618,146.59358629980125,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Right_incongruent,"(-0.4, 0)",X,5,16,0,0,0,0,0,13,13,3,,,,,,,,,,,146.7940452999901,147.79575589997694,147.79575589997694,147.99671949981712,147.99671949981712,147.99671949981712,4,0,1.194049100158736,149.19884839979932,149.54823809978552,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Left_incongruent,"(0.4, 0)",T,4,4,0,0,0,0,0,14,14,45,,,,,,,,,,,149.75285899988376,,150.74551759986207,150.94814999983646,150.94814999983646,150.94814999983646,5,0,0.45864870003424585,151.41518079978414,151.76463719992898,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Left_incongruent,"(0.4, 0)",T,4,4,0,0,0,0,0,15,15,77,,,,,,,,,,,151.96479159989394,152.96715559996665,152.96715559996665,153.16834999993443,153.16834999993443,153.16834999993443,4,1,0.7777734000701457,153.95301099983044,154.30726059991866,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Left_congruent,"(-0.4, 0)",T,4,2,0,0,0,0,0,16,16,64,,,,,,,,,,,154.5085883999709,,155.49465189990588,155.69617259991355,155.69617259991355,155.69617259991355,4,1,0.3407634000759572,156.04379679984413,156.39786689984612,155.69617259991355,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Right_incongruent,"(-0.4, 0)",X,5,16,0,0,0,0,0,17,17,75,,,,,,,,,,,156.60193469980732,157.60638659982942,157.60638659982942,157.8081975998357,157.8081975998357,157.8081975998357,5,1,0.43088150001131,158.2527206998784,158.59929489996284,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Left_incongruent,"(0.4, 0)",T,4,4,0,0,0,0,0,18,18,65,,,,,,,,,,,158.80484509980306,159.8083605999127,159.8083605999127,160.01080939988606,160.01080939988606,160.01080939988606,4,1,0.6028029001317918,160.62616729992442,160.97407929995097,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Left_congruent,"(-0.4, 0)",T,4,2,0,0,0,0,0,19,19,44,,,,,,,,,,,161.17738469992764,162.1797026998829,162.1797026998829,162.37761049997061,162.37761049997061,162.37761049997061,4,1,0.8562022000551224,163.24339329986833,163.59910979983397,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Right_incongruent,"(-0.4, 0)",X,5,16,0,0,0,0,0,20,20,43,,,,,,,,,,,163.79393669986166,164.7936721998267,164.7936721998267,164.99747389997356,164.99747389997356,164.99747389997356,5,1,0.4149891999550164,165.41895069996826,165.7739543998614,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Right_congruent,"(0.4, 0)",X,5,8,0,0,0,0,0,21,21,42,,,,,,,,,,,165.97411459987052,166.97349579981528,166.97349579981528,167.17611889983527,167.17611889983527,167.17611889983527,5,1,0.7438554000109434,167.92627339996397,168.28444319986738,,168.27698989980854,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Right_congruent,"(0.4, 0)",X,5,8,0,0,0,0,0,22,22,70,,,,,,,,,,,168.48194529977627,,169.47474729991518,169.67920209979638,169.67920209979638,169.67920209979638,5,1,0.28922239993698895,169.97410699981265,170.32779529993422,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Right_congruent,"(0.4, 0)",X,5,8,0,0,0,0,0,23,23,34,,,,,,,,,,,170.52918859990314,171.53129639988765,171.53129639988765,171.72568819997832,171.72568819997832,171.72568819997832,5,1,0.3264119999948889,172.0596474998165,172.41244549979456,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Right_incongruent,"(-0.4, 0)",X,5,16,0,0,0,0,0,24,24,27,,,,,,,,,,,172.61515969992615,173.6149142999202,173.6149142999202,173.8119049000088,173.8119049000088,173.8119049000088,5,1,0.4715748999733478,174.29092149995267,174.64741459977813,,174.64045349997468,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Right_congruent,"(0.4, 0)",X,5,8,0,0,0,0,0,25,25,18,,,,,,,,,,,174.84168339986354,,175.84152369992808,176.0431760000065,176.0431760000065,176.0431760000065,5,1,0.45266870013438165,176.50285919988528,176.85688129998744,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
Left_congruent,"(-0.4, 0)",T,4,2,0,0,0,0,0,26,26,32,,,,,,,,,,,177.05829989979975,178.05827779998071,178.05827779998071,178.2582243999932,178.2582243999932,178.2582243999932,4,1,1.000284899957478,179.26900999993086,179.62066119979136,,,,,,,,,,999,,,,,,2023-02-01_13h51.33.741,Exp_1_Simon_task,2022.2.4,999,143.32417524367997,
