subid,Target,CorrectResponse,RESP,CRESP,Ort,Block,Trial,OnsetDelay,OnsetTime,RTTime,RT,ACC
Simon_mitTrigger_redblue-13-2,X,r,r,r,30,1,1,17,35560,36086,526,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,30,1,2,16,36893,37174,281,1
Simon_mitTrigger_redblue-13-2,T,b,r,b,70,1,3,17,37977,38302,325,0
Simon_mitTrigger_redblue-13-2,T,b,b,b,30,1,4,17,39110,39550,440,1
Simon_mitTrigger_redblue-13-2,T,b,r,b,30,1,5,17,40360,40734,374,0
Simon_mitTrigger_redblue-13-2,T,b,b,b,30,1,6,17,41544,41934,390,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,30,1,7,17,42744,43366,622,1
Simon_mitTrigger_redblue-13-2,X,r,b,r,30,1,8,16,44160,44430,270,0
Simon_mitTrigger_redblue-13-2,T,b,b,b,70,1,9,17,45227,45606,379,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,30,1,10,17,46411,46878,467,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,30,1,11,16,47677,48086,409,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,70,1,12,17,48894,49246,352,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,30,1,13,16,50044,50470,426,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,70,1,14,17,51278,51543,265,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,70,1,15,16,52344,52679,335,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,70,1,16,17,53478,53775,297,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,70,1,17,17,54578,55047,469,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,30,1,18,17,55845,56343,498,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,70,1,19,17,57145,57551,406,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,70,1,20,17,58345,58687,342,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,30,1,21,17,59495,59951,456,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,30,1,22,17,60745,61119,374,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,70,1,23,16,61928,62279,351,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,30,1,24,17,63079,63487,408,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,70,1,25,16,64295,64671,376,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,70,1,26,17,65479,65895,416,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,70,1,27,16,66695,67407,712,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,30,1,28,16,68212,68695,483,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,70,1,29,17,69496,69799,303,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,30,1,30,17,70596,70951,355,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,30,1,31,17,71746,72087,341,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,70,1,32,17,72896,73255,359,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,30,1,33,17,74063,74399,336,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,70,1,34,17,75196,75615,419,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,70,1,35,17,76413,76695,282,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,70,1,36,16,77496,77855,359,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,30,1,37,17,78663,79095,432,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,70,1,38,16,79896,80343,447,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,70,1,39,17,81147,81623,476,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,70,1,40,17,82430,82767,337,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,30,1,41,16,83563,84519,956,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,70,1,42,17,85314,85727,413,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,30,1,43,16,86530,86927,397,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,30,1,44,16,87730,88039,309,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,30,1,45,17,88847,89231,384,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,70,1,46,17,90031,90495,464,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,30,1,47,16,91297,91679,382,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,70,1,48,17,92481,92879,398,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,70,1,49,17,93681,94063,382,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,30,1,50,16,94864,95231,367,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,70,1,51,17,96031,96359,328,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,70,1,52,16,97164,97503,339,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,70,1,53,17,98298,98639,341,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,70,1,54,17,99448,99831,383,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,30,1,55,16,100631,101111,480,1
Simon_mitTrigger_redblue-13-2,X,r,r,r,30,1,56,17,101915,102343,428,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,30,1,57,17,103148,103535,387,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,30,1,58,17,104332,104679,347,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,70,1,59,17,105482,105919,437,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,30,1,60,17,106715,107047,332,1
Simon_mitTrigger_redblue-13-2,T,b,b,b,30,1,61,17,107849,108175,326,1
Simon_mitTrigger_redblue-13-2,X,r,b,r,30,1,62,17,108982,109343,361,0
